year,period,geo_level,state,state_ansi,crop,data_item,domain,domain_category,yield_bu_per_acre,STATE_FIPS,state_abbr,annual_precip_in,growing_season_precip_in,non_growing_season_precip_in,growing_season_share,growing_season_precip_state_percentile,crop_damage_event_count,crop_damage_usd
2024,YEAR,STATE,TENNESSEE,47.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,152.0,47,TN,37.58027777777778,26.638194444444444,10.942083333333333,0.7088344211281035,84.0,1.0,5250000.0
2024,YEAR,STATE,TEXAS,48.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,112.0,48,TX,13.19,7.459130434782609,5.730869565217391,0.5655140587401524,24.0,8.0,78000.0
2024,YEAR,STATE,UTAH,49.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,167.0,49,UT,47.66,27.258,20.402,0.5719261435165758,80.0,6.0,22950000.0
2024,YEAR,STATE,VIRGINIA,51.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,114.0,51,VA,0.0,0.0,0.0,,52.0,65.0,178676500.0
2024,YEAR,STATE,WASHINGTON,53.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,235.0,53,WA,0.0,0.0,0.0,,52.0,1.0,2000.0
2024,YEAR,STATE,WEST VIRGINIA,54.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,110.0,54,WV,0.0,0.0,0.0,,52.0,35.0,44000.0
2024,YEAR,STATE,WISCONSIN,55.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,174.0,55,WI,0.0,0.0,0.0,,52.0,78.0,2228000.0
2024,YEAR,STATE,WYOMING,56.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,155.0,56,WY,0.0,0.0,0.0,,52.0,0.0,0.0
2023,YEAR,STATE,ALABAMA,1.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,164.0,01,AL,51.12119402985075,26.336865671641792,24.78432835820896,0.5151848694352315,44.0,0.0,0.0
2023,YEAR,STATE,ARIZONA,4.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,206.0,04,AZ,34.11086206896552,3.260172413793104,30.850689655172413,0.0955757848394939,40.0,1.0,50000.0
2023,YEAR,STATE,ARKANSAS,5.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,183.0,05,AR,19.90109375,12.19171875,7.709375,0.6126155126524139,72.0,2.0,2000000.0
2023,YEAR,STATE,CALIFORNIA,6.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,178.0,06,CA,61.20625,36.08625,25.12,0.5895843970182784,96.0,4.0,51020.0
2023,YEAR,STATE,COLORADO,8.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,122.0,08,CO,54.06776119402985,35.680895522388056,18.38686567164179,0.6599292209333781,44.0,16.0,630020.0
2023,YEAR,STATE,DELAWARE,10.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,189.0,10,DE,20.682954545454542,8.838636363636363,11.84431818181818,0.4273391571891654,72.0,0.0,0.0
2023,YEAR,STATE,FLORIDA,12.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,158.0,12,FL,37.17467391304348,18.404021739130435,18.77065217391304,0.4950688143809922,8.0,9.0,337515000.0
2023,YEAR,STATE,GEORGIA,13.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,174.0,13,GA,26.924242424242426,15.853434343434344,11.070808080808082,0.5888163571562559,4.0,16.0,6901900.0
2023,YEAR,STATE,IDAHO,16.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,203.0,16,ID,44.0359375,20.80421875,23.23171875,0.4724372848880531,4.0,4.0,1059500.0
2023,YEAR,STATE,ILLINOIS,17.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,206.0,17,IL,57.306875000000005,31.713125,25.59375,0.5533912815870696,100.0,4.0,8000.0
2023,YEAR,STATE,INDIANA,18.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,203.0,18,IN,38.3152,21.7868,16.5284,0.5686202864659455,32.0,2.0,800150.0
2023,YEAR,STATE,IOWA,19.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,201.0,19,IA,54.97857142857143,30.94,24.03857142857143,0.5627647135247499,88.0,27.0,72632800.0
2023,YEAR,STATE,KANSAS,20.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,119.0,20,KS,33.505180722891566,17.98144578313253,15.523734939759036,0.5366765794176768,16.0,30.0,21411300.0
2023,YEAR,STATE,KENTUCKY,21.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,187.0,21,KY,24.86448275862069,14.69,10.174482758620693,0.5908025573106633,4.0,320.0,1740850.0
2023,YEAR,STATE,LOUISIANA,22.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,175.0,22,LA,47.72792682926829,23.29731707317073,24.43060975609756,0.4881275726999328,20.0,17.0,11045000.0
2023,YEAR,STATE,MARYLAND,24.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165.0,24,MD,18.5025,12.35625,6.14625,0.6678151601134981,80.0,6.0,10000.0
2023,YEAR,STATE,MICHIGAN,26.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,168.0,26,MI,13.391176470588237,5.430588235294118,7.960588235294118,0.4055348122117285,100.0,4.0,1720000.0
2023,YEAR,STATE,MINNESOTA,27.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,185.0,27,MN,56.696,33.33,23.366,0.5878721602934951,96.0,24.0,50934000.0
2023,YEAR,STATE,MISSISSIPPI,28.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,181.0,28,MS,51.560476190476194,30.25095238095238,21.30952380952381,0.5867081651689647,76.0,60.0,59387200.0
2023,YEAR,STATE,MISSOURI,29.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153.0,29,MO,11.286666666666669,7.037878787878788,4.248787878787879,0.62355689201525,24.0,18.0,99910000.0
2023,YEAR,STATE,MONTANA,30.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,129.0,30,MT,47.01096774193549,26.140967741935484,20.87,0.5560610427216709,72.0,6.0,1228000.0
2023,YEAR,STATE,NEBRASKA,31.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,182.0,31,NE,48.6589,27.5725,21.0864,0.5666486500927888,52.0,61.0,126619510.0
2023,YEAR,STATE,NEW JERSEY,34.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,168.0,34,NJ,37.41844155844156,21.54285714285714,15.875584415584417,0.5757283373015597,52.0,0.0,0.0
2023,YEAR,STATE,NEW MEXICO,35.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,155.0,35,NM,39.04583333333333,10.036111111111111,29.009722222222223,0.2570341123323729,60.0,2.0,11000.0
2023,YEAR,STATE,NEW YORK,36.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,159.0,36,NY,43.62044776119403,24.86641791044776,18.75402985074627,0.5700633346677753,48.0,19.0,648000.0
2023,YEAR,STATE,NORTH CAROLINA,37.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,147.0,37,NC,56.532,30.748,25.784,0.5439043373664473,96.0,9.0,909500.0
2023,YEAR,STATE,NORTH DAKOTA,38.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,143.0,38,ND,51.47369565217392,29.01195652173913,22.461739130434783,0.5636268419074326,72.0,8.0,3945000.0
2023,YEAR,STATE,OHIO,39.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,198.0,39,OH,23.96878787878788,16.472878787878788,7.495909090909091,0.6872637394591451,44.0,33.0,127500.0
2023,YEAR,STATE,OKLAHOMA,40.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149.0,40,OK,48.53821052631579,25.46031578947368,23.077894736842104,0.5245417066966231,40.0,0.0,0.0
2023,YEAR,STATE,OREGON,41.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,214.0,41,OR,26.842047244094488,14.52968503937008,12.312362204724408,0.5413031616866241,24.0,0.0,0.0
2023,YEAR,STATE,OTHER STATES,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,0.0,,,,,,,,,
2023,YEAR,STATE,PENNSYLVANIA,42.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157.0,42,PA,19.021034482758623,7.221379310344828,11.799655172413791,0.3796522905676111,68.0,104.0,227000.0
2023,YEAR,STATE,SOUTH CAROLINA,45.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,150.0,45,SC,38.49641025641026,10.343589743589742,28.15282051282051,0.2686897213193371,40.0,54.0,205900.0
2023,YEAR,STATE,SOUTH DAKOTA,46.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,152.0,46,SD,39.73236363636364,22.55018181818182,17.182181818181817,0.567551984185093,16.0,73.0,150620000.0
2023,YEAR,STATE,TENNESSEE,47.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,173.0,47,TN,30.17305555555556,17.220277777777778,12.95277777777778,0.5707170672877752,4.0,0.0,0.0
2023,YEAR,STATE,TEXAS,48.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,122.0,48,TX,19.121304347826086,12.429130434782609,6.692173913043479,0.6500147797812592,96.0,7.0,122628000.0
2023,YEAR,STATE,UTAH,49.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,185.0,49,UT,58.878,20.924,37.954,0.355378919120894,44.0,1.0,1000.0
2023,YEAR,STATE,VIRGINIA,51.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157.0,51,VA,0.0,0.0,0.0,,52.0,62.0,124500.0
2023,YEAR,STATE,WASHINGTON,53.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,240.0,53,WA,0.0,0.0,0.0,,52.0,3.0,41000.0
2023,YEAR,STATE,WEST VIRGINIA,54.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,145.0,54,WV,0.0,0.0,0.0,,52.0,39.0,161000.0
2023,YEAR,STATE,WISCONSIN,55.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,176.0,55,WI,0.0,0.0,0.0,,52.0,5.0,23500.0
2023,YEAR,STATE,WYOMING,56.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153.0,56,WY,0.0,0.0,0.0,,52.0,0.0,0.0
2022,YEAR,STATE,ALABAMA,1.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,118.0,01,AL,57.53507462686567,27.617014925373137,29.91805970149254,0.4800031129615938,52.0,1.0,3000.0
2022,YEAR,STATE,ARIZONA,4.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,220.0,04,AZ,18.27586206896552,4.367931034482758,13.90793103448276,0.239,68.0,1.0,25000.0
2022,YEAR,STATE,ARKANSAS,5.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,173.0,05,AR,17.3371875,10.19390625,7.143281249999999,0.5879792353863625,36.0,4.0,12100.0
2022,YEAR,STATE,CALIFORNIA,6.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,177.0,06,CA,43.73375,21.65375,22.08,0.4951267613685083,28.000000000000004,19.0,164600.0
