state,state_abbr,year,scenario,scenario_label,annual_max_tasmax_c,hot_days_30c,hot_days_30c_2020,hot_days_30c_change_from_2020,hot_days_35c,hot_days_35c_2020,hot_days_35c_change_from_2020
Ohio,OH,2045,ssp585,High emissions (SSP585),32.85112324469541,18.092536860711583,4.780040235009328,13.312496625702256,0.023962621310703973,0.0,0.023962621310703973
Ohio,OH,2046,ssp585,High emissions (SSP585),32.84034678722717,19.335740864186644,4.780040235009328,14.555700629177315,0.08734463650786518,0.0,0.08734463650786518
Ohio,OH,2047,ssp585,High emissions (SSP585),32.29977104871765,9.698984011706619,4.780040235009328,4.918943776697292,0.0,0.0,0.0
Ohio,OH,2048,ssp585,High emissions (SSP585),31.848962840570866,9.705737514015201,4.780040235009328,4.925697279005872,0.0,0.0,0.0
Ohio,OH,2049,ssp585,High emissions (SSP585),32.319452374561415,17.80140828209048,4.780040235009328,13.021368047081154,0.0,0.0,0.0
Ohio,OH,2050,ssp585,High emissions (SSP585),33.8455820863607,34.95339561628165,4.780040235009328,30.173355381272316,0.6038313468060398,0.0,0.6038313468060398
Ohio,OH,2051,ssp585,High emissions (SSP585),31.6820240133913,7.819298846152654,4.780040235009328,3.0392586111433255,0.0,0.0,0.0
Ohio,OH,2052,ssp585,High emissions (SSP585),31.950165563033636,6.0423830113559145,4.780040235009328,1.2623427763465866,0.0,0.0,0.0
Ohio,OH,2053,ssp585,High emissions (SSP585),32.875074833461134,11.537675529353539,4.780040235009328,6.757635294344211,0.0,0.0,0.0
Ohio,OH,2054,ssp585,High emissions (SSP585),33.50155503084666,13.356954297854822,4.780040235009328,8.576914062845493,0.0,0.0,0.0
Ohio,OH,2055,ssp585,High emissions (SSP585),32.700027344832414,19.562186704700984,4.780040235009328,14.782146469691655,0.0,0.0,0.0
Ohio,OH,2056,ssp585,High emissions (SSP585),33.29037623368449,18.486153401957296,4.780040235009328,13.706113166947967,0.0,0.0,0.0
Ohio,OH,2057,ssp585,High emissions (SSP585),34.00616107325083,14.019795494903036,4.780040235009328,9.239755259893709,0.06258787579284911,0.0,0.06258787579284911
Ohio,OH,2058,ssp585,High emissions (SSP585),32.97326555897074,24.451466607917187,4.780040235009328,19.67142637290786,0.0,0.0,0.0
Ohio,OH,2059,ssp585,High emissions (SSP585),31.285519016131808,11.476775850941237,4.780040235009328,6.696735615931909,0.0,0.0,0.0
Ohio,OH,2060,ssp585,High emissions (SSP585),32.62009984079968,15.667733189529418,4.780040235009328,10.887692954520091,0.0,0.0,0.0
Ohio,OH,2061,ssp585,High emissions (SSP585),34.873147311069864,25.549166460747298,4.780040235009328,20.769126225737967,1.0160133925422168,0.0,1.0160133925422168
Ohio,OH,2062,ssp585,High emissions (SSP585),34.93370131365931,42.8034362641573,4.780040235009328,38.02339602914797,2.468574552329508,0.0,2.468574552329508
Ohio,OH,2063,ssp585,High emissions (SSP585),32.84981916603994,15.886262595941119,4.780040235009328,11.106222360931792,0.08734463650786518,0.0,0.08734463650786518
Ohio,OH,2064,ssp585,High emissions (SSP585),32.64025748664679,13.260850347850617,4.780040235009328,8.480810112841288,0.0,0.0,0.0
Ohio,OH,2065,ssp585,High emissions (SSP585),32.70960961590712,21.446528725080217,4.780040235009328,16.66648849007089,0.0,0.0,0.0
Ohio,OH,2066,ssp585,High emissions (SSP585),32.751488410909445,22.427097700452514,4.780040235009328,17.647057465443186,0.0,0.0,0.0
Ohio,OH,2067,ssp585,High emissions (SSP585),35.62392744686679,46.826417640411165,4.780040235009328,42.04637740540184,1.8243594630005922,0.0,1.8243594630005922
Ohio,OH,2068,ssp585,High emissions (SSP585),33.87105277621433,43.66185855563689,4.780040235009328,38.88181832062756,1.324009828349154,0.0,1.324009828349154
Ohio,OH,2069,ssp585,High emissions (SSP585),33.77016641860242,23.57958615915774,4.780040235009328,18.79954592414841,0.08734463650786518,0.0,0.08734463650786518
Ohio,OH,2070,ssp585,High emissions (SSP585),33.58380934734095,27.477458947996904,4.780040235009328,22.697418712987577,0.011153578459099239,0.0,0.011153578459099239
Oklahoma,OK,2020,ssp126,Low emissions (SSP126),38.186747974487346,62.372670267630134,62.372670267630134,0.0,23.213027715438017,23.213027715438017,0.0
