state,state_abbr,year,season,scenario,scenario_label,summer_tas_c,summer_tas_c_2020,summer_tas_c_change_from_2020
Hawaii,HI,2075,JJA,ssp126,Low emissions (SSP126),24.47683538029749,24.572524007749518,-0.09568862745203419
Hawaii,HI,2076,JJA,ssp126,Low emissions (SSP126),24.666753788185584,24.572524007749518,0.09422978043606603
Hawaii,HI,2077,JJA,ssp126,Low emissions (SSP126),24.651238891405452,24.572524007749518,0.07871488365593612
Hawaii,HI,2078,JJA,ssp126,Low emissions (SSP126),24.694218599071082,24.572524007749518,0.12169459132156149
Hawaii,HI,2079,JJA,ssp126,Low emissions (SSP126),25.18767302028919,24.572524007749518,0.6151490125396708
Hawaii,HI,2080,JJA,ssp126,Low emissions (SSP126),24.33048996096315,24.572524007749518,-0.24203404678636647
Hawaii,HI,2081,JJA,ssp126,Low emissions (SSP126),24.294170072600235,24.572524007749518,-0.2783539351492785
Hawaii,HI,2082,JJA,ssp126,Low emissions (SSP126),25.086402688530114,24.572524007749518,0.5138786807805967
Hawaii,HI,2083,JJA,ssp126,Low emissions (SSP126),24.372689846850143,24.572524007749518,-0.19983416089937758
Hawaii,HI,2084,JJA,ssp126,Low emissions (SSP126),25.006702325719527,24.572524007749518,0.4341783179700088
Hawaii,HI,2085,JJA,ssp126,Low emissions (SSP126),24.435740494539846,24.572524007749518,-0.13678351320966964
Hawaii,HI,2086,JJA,ssp126,Low emissions (SSP126),24.607523704744022,24.572524007749518,0.034999696994500576
Hawaii,HI,2087,JJA,ssp126,Low emissions (SSP126),25.326994735702986,24.572524007749518,0.7544707279534636
Hawaii,HI,2088,JJA,ssp126,Low emissions (SSP126),24.793850240568254,24.572524007749518,0.22132623281873787
Hawaii,HI,2089,JJA,ssp126,Low emissions (SSP126),24.047699999446944,24.572524007749518,-0.524824008302572
Hawaii,HI,2090,JJA,ssp126,Low emissions (SSP126),24.383001042947736,24.572524007749518,-0.18952296480178035
Hawaii,HI,2091,JJA,ssp126,Low emissions (SSP126),24.1924898967878,24.572524007749518,-0.38003411096171846
Hawaii,HI,2092,JJA,ssp126,Low emissions (SSP126),24.86842807529465,24.572524007749518,0.2959040675451328
Hawaii,HI,2093,JJA,ssp126,Low emissions (SSP126),24.543393738606138,24.572524007749518,-0.02913026914337823
Hawaii,HI,2094,JJA,ssp126,Low emissions (SSP126),25.11137418339211,24.572524007749518,0.5388501756425915
Hawaii,HI,2095,JJA,ssp126,Low emissions (SSP126),24.328235536616234,24.572524007749518,-0.24428847113328714
Hawaii,HI,2096,JJA,ssp126,Low emissions (SSP126),24.310040810325706,24.572524007749518,-0.2624831974238113
Hawaii,HI,2097,JJA,ssp126,Low emissions (SSP126),25.30617725242345,24.572524007749518,0.7336532446739342
Hawaii,HI,2098,JJA,ssp126,Low emissions (SSP126),24.983482114581214,24.572524007749518,0.4109581068316972
Hawaii,HI,2099,JJA,ssp126,Low emissions (SSP126),23.874370593345823,24.572524007749518,-0.6981534144036973
Hawaii,HI,2100,JJA,ssp126,Low emissions (SSP126),24.235768324343734,24.572524007749518,-0.3367556834057835
Hawaii,HI,2020,JJA,ssp245,Medium emissions (SSP245),23.822799064711724,23.822799064711724,0.0
Hawaii,HI,2021,JJA,ssp245,Medium emissions (SSP245),24.32598117246738,23.822799064711724,0.5031821077556596
Hawaii,HI,2022,JJA,ssp245,Medium emissions (SSP245),24.890690859097766,23.822799064711724,1.0678917943860495
Hawaii,HI,2023,JJA,ssp245,Medium emissions (SSP245),24.931919708539404,23.822799064711724,1.109120643827679
Hawaii,HI,2024,JJA,ssp245,Medium emissions (SSP245),25.055839044939194,23.822799064711724,1.233039980227472
Hawaii,HI,2025,JJA,ssp245,Medium emissions (SSP245),25.14415498371875,23.822799064711724,1.321355919007028
