state,state_abbr,year,season,scenario,scenario_label,summer_tas_c,summer_tas_c_2020,summer_tas_c_change_from_2020,summer_max_tasmax_c,summer_hot_days_30c,summer_hot_days_30c_2020,summer_hot_days_30c_change_from_2020,summer_hot_days_35c,summer_hot_days_35c_2020,summer_hot_days_35c_change_from_2020
California,CA,2084,JJA,ssp245,Medium emissions (SSP245),24.00559352085594,22.95897116176593,1.046622359090001,39.76851335813184,52.050323395888405,52.29196656051667,-0.24164316462826835,26.604074048471553,24.913463718249353,1.6906103302221989
California,CA,2085,JJA,ssp245,Medium emissions (SSP245),23.116539207300498,22.95897116176593,0.15756804553456352,38.14694654952143,48.104990202289294,52.29196656051667,-4.18697635822738,23.150292710008525,24.913463718249353,-1.7631710082408305
California,CA,2086,JJA,ssp245,Medium emissions (SSP245),22.635246159769956,22.95897116176593,-0.3237250019959853,38.18690205405085,42.28023991982997,52.29196656051667,-10.011726640686707,22.205484872061383,24.913463718249353,-2.7079788461879706
California,CA,2087,JJA,ssp245,Medium emissions (SSP245),24.737759204921314,22.95897116176593,1.7787880431553775,41.636880115458474,58.27789369392386,52.29196656051667,5.985927133407189,36.23594525994745,24.913463718249353,11.322481541698094
California,CA,2088,JJA,ssp245,Medium emissions (SSP245),23.388458090317314,22.95897116176593,0.429486928551373,38.87991607497117,48.472893492342656,52.29196656051667,-3.8190730681740113,25.751618878215716,24.913463718249353,0.8381551599663609
California,CA,2089,JJA,ssp245,Medium emissions (SSP245),23.48144564983595,22.95897116176593,0.5224744880700071,42.209542851171015,49.517167520751066,52.29196656051667,-2.774799039765609,27.379826414187725,24.913463718249353,2.4663626959383724
California,CA,2090,JJA,ssp245,Medium emissions (SSP245),24.488996732779317,22.95897116176593,1.5300255710133774,41.67381664620681,57.24558038300555,52.29196656051667,4.953613822488885,33.063841641839254,24.913463718249353,8.150377923589899
California,CA,2091,JJA,ssp245,Medium emissions (SSP245),23.671155488175046,22.95897116176593,0.7121843264091066,40.40275874832274,53.51787172401339,52.29196656051667,1.2259051634967177,29.32246683391328,24.913463718249353,4.409003115663925
California,CA,2092,JJA,ssp245,Medium emissions (SSP245),23.051012670539837,22.95897116176593,0.09204150877389852,38.80202150513389,42.55244015386389,52.29196656051667,-9.739526406652779,22.16758838358107,24.913463718249353,-2.7458753346682845
California,CA,2093,JJA,ssp245,Medium emissions (SSP245),25.39806728455696,22.95897116176593,2.43909612279102,41.306534200179,64.48041090572902,52.29196656051667,12.18844434521234,37.71284360144692,24.913463718249353,12.799379883197563
California,CA,2094,JJA,ssp245,Medium emissions (SSP245),24.590097801483008,22.95897116176593,1.6311266397170758,38.7184724753402,58.61237364160658,52.29196656051667,6.320407081089908,30.882718772244324,24.913463718249353,5.96925505399497
California,CA,2095,JJA,ssp245,Medium emissions (SSP245),23.179750196068042,22.95897116176593,0.22077903430210855,38.55145008923875,42.868097028778664,52.29196656051667,-9.42386953173801,23.610102183395032,24.913463718249353,-1.3033615348543237
California,CA,2096,JJA,ssp245,Medium emissions (SSP245),22.97544626851362,22.95897116176593,0.01647510674767786,38.56721916254141,48.159729567267355,52.29196656051667,-4.132236993249316,24.663042116235207,24.913463718249353,-0.2504216020141474
California,CA,2097,JJA,ssp245,Medium emissions (SSP245),23.524467429798744,22.95897116176593,0.5654962680328053,39.473059754438076,46.98882762777949,52.29196656051667,-5.303138932737179,24.689257400095357,24.913463718249353,-0.2242063181539963
California,CA,2098,JJA,ssp245,Medium emissions (SSP245),24.29957867783391,22.95897116176593,1.340607516067974,40.77044144541772,52.946064811519115,52.29196656051667,0.6540982510024407,29.444579683833474,24.913463718249353,4.53111596558412
California,CA,2099,JJA,ssp245,Medium emissions (SSP245),23.980774163303494,22.95897116176593,1.0218030015375534,38.4515309671935,52.35211077446494,52.29196656051667,0.060144213948268195,27.15657842247437,24.913463718249353,2.243114704225018
California,CA,2100,JJA,ssp245,Medium emissions (SSP245),23.36034532115768,22.95897116176593,0.40137415939174687,36.734148313273366,46.480487048411256,52.29196656051667,-5.811479512105418,24.197094883904185,24.913463718249353,-0.7163688343451701
California,CA,2020,JJA,ssp585,High emissions (SSP585),22.934263280909438,22.934263280909438,0.0,40.46665720313496,50.67748987066637,50.67748987066637,0.0,26.265530417629066,26.265530417629066,0.0
California,CA,2021,JJA,ssp585,High emissions (SSP585),21.562922756455016,22.934263280909438,-1.3713405244544208,37.61696817722653,40.30053839283267,50.67748987066637,-10.376951477833703,18.583199091550135,26.265530417629066,-7.682331326078928
California,CA,2022,JJA,ssp585,High emissions (SSP585),22.101600074469893,22.934263280909438,-0.8326632064395414,36.902944983765,47.28709460919091,50.67748987066637,-3.3903952614754607,21.49429159632632,26.265530417629066,-4.771238821302745
California,CA,2023,JJA,ssp585,High emissions (SSP585),21.78003925802924,22.934263280909438,-1.1542240228801925,37.18028784504314,43.02500779298218,50.67748987066637,-7.652482077684196,20.234656275663554,26.265530417629066,-6.0308741419655085
California,CA,2024,JJA,ssp585,High emissions (SSP585),22.946903118148207,22.934263280909438,0.01263983723877273,39.18166395787682,51.55247726480741,50.67748987066637,0.8749873941410337,26.953474478387218,26.265530417629066,0.6879440607581551
