state,state_abbr,year,season,scenario,scenario_label,summer_max_tasmax_c,summer_hot_days_30c,summer_hot_days_30c_2020,summer_hot_days_30c_change_from_2020,summer_hot_days_35c,summer_hot_days_35c_2020,summer_hot_days_35c_change_from_2020
Virginia,VA,2099,JJA,ssp585,High emissions (SSP585),37.47847560418922,65.2219122775665,14.012398869491328,51.20951340807517,16.492310218741913,0.11710592584082669,16.375204292901085
Virginia,VA,2100,JJA,ssp585,High emissions (SSP585),35.92821478634095,54.4773022057458,14.012398869491328,40.46490333625447,4.794304043148358,0.11710592584082669,4.677198117307531
Washington,WA,2020,JJA,ssp126,Low emissions (SSP126),32.561999567369604,13.513540776294716,13.513540776294716,0.0,2.072974523441211,2.072974523441211,0.0
Washington,WA,2021,JJA,ssp126,Low emissions (SSP126),26.427865472047163,0.61354543959709,13.513540776294716,-12.899995336697627,0.0,2.072974523441211,-2.072974523441211
Washington,WA,2022,JJA,ssp126,Low emissions (SSP126),30.55378939000453,6.494582928797044,13.513540776294716,-7.018957847497672,0.3983949209560295,2.072974523441211,-1.6745796024851816
Washington,WA,2023,JJA,ssp126,Low emissions (SSP126),29.491419974878532,3.3972465569474903,13.513540776294716,-10.116294219347227,0.13279830698534317,2.072974523441211,-1.940176216455868
Washington,WA,2024,JJA,ssp126,Low emissions (SSP126),29.191507519978902,1.3600573883474996,13.513540776294716,-12.153483387947217,0.04426610232844772,2.072974523441211,-2.0287084211127633
Washington,WA,2025,JJA,ssp126,Low emissions (SSP126),28.44444263547805,2.444181176694779,13.513540776294716,-11.069359599599936,0.0,2.072974523441211,-2.072974523441211
Washington,WA,2026,JJA,ssp126,Low emissions (SSP126),30.829327079449595,4.51677855388181,13.513540776294716,-8.996762222412906,0.33802649616990565,2.072974523441211,-1.7349480272713054
Washington,WA,2027,JJA,ssp126,Low emissions (SSP126),28.375375550547037,2.8247069223900048,13.513540776294716,-10.688833853904711,0.0,2.072974523441211,-2.072974523441211
Washington,WA,2028,JJA,ssp126,Low emissions (SSP126),31.16848177398752,5.727465881545405,13.513540776294716,-7.786074894749311,0.46561174780863923,2.072974523441211,-1.607362775632572
Washington,WA,2029,JJA,ssp126,Low emissions (SSP126),30.052162648837168,3.4575176970083024,13.513540776294716,-10.056023079286414,0.13279830698534317,2.072974523441211,-1.940176216455868
Washington,WA,2030,JJA,ssp126,Low emissions (SSP126),30.787186361797435,3.477310059472007,13.513540776294716,-10.03623071682271,0.22133051164223863,2.072974523441211,-1.8516440117989725
Washington,WA,2031,JJA,ssp126,Low emissions (SSP126),28.313163842281902,3.226939046440992,13.513540776294716,-10.286601729853723,0.08853220465689544,2.072974523441211,-1.9844423187843157
Washington,WA,2032,JJA,ssp126,Low emissions (SSP126),30.8151473053781,10.090414473116025,13.513540776294716,-3.4231263031786905,0.20522818918456245,2.072974523441211,-1.8677463342566487
Washington,WA,2033,JJA,ssp126,Low emissions (SSP126),30.444509748025013,4.630552094188524,13.513540776294716,-8.882988682106191,0.4452554237844441,2.072974523441211,-1.627719099656767
